"location","outbreak_number","spatial_scale","outbreak_pop","country","start_date","end_date","weekly_threshold_per_10e5","Total_sCh","Total_cCh","Total_deaths","Duration_weeks","peak_week_incidence","time_to_peak_week","peak_week_incidence_per_100percent","peak_week_incidence_per_10e3","mean_R0_1st_week","area_per_1km2","rural_urban","AR_per_10e3","CFR_per_100percent"
"AFR::BDI::Bujumbura Mairie::Bujumbura South Sanitary District",1,"admin2",176330.643464662,"BDI","2013-07-15","2013-12-01",0.286556361742915,57,NA,0,20,24,3,42.1052631578947,0.136107936365637,1.47,36.2237998503561,"urban",0.323256348868387,0
"AFR::BDI::Bujumbura Mairie::Bujumbura South Sanitary District",3,"admin2",201392.703213827,"BDI","2016-10-17","2016-12-18",0.286556361742915,13,NA,NA,9,5,3,38.4615384615385,0.0248271159789304,1.92,36.2237998503561,"urban",0.064550501545219,NA
"AFR::BDI::Bujumbura Rural::Kabezi Sanitary District",1,"admin2",237174.497284239,"BDI","2016-07-18","2016-10-30",0.511441466468883,260,NA,NA,15,44,3,16.9230769230769,0.185517416517463,1.65,231.321793152218,"urban",1.09623927942137,NA
"AFR::BDI::Bujumbura Rural::Kabezi|Muhuta",1,"admin2 composite",141012.189117732,"BDI","2013-03-04","2013-05-12",0.636049423887755,40,NA,0,10,16,3,40,0.113465368491241,1.89,201.347147707009,"rural",0.283663421228102,0
"AFR::BDI::Bujumbura Rural::Kabezi|Muhuta",2,"admin2 composite",141012.189117732,"BDI","2013-08-19","2013-11-24",0.636049423887755,39,NA,0,14,12,3,30.7692307692308,0.0850990263684306,2.2,201.347147707009,"rural",0.276571835697399,0
"AFR::BDI::Cibitoke::Buganda|Murwi|Rugombo",1,"admin2 composite",283838.29582247,"BDI","2013-03-04","2013-05-12",0.648982072425619,49,NA,0,10,12,3,24.4897959183673,0.0422775931811032,1.65,625.935061377467,"rural",0.172633505489505,0
"AFR::BDI::Cibitoke::Buganda|Murwi|Rugombo",2,"admin2 composite",283838.29582247,"BDI","2013-08-05","2013-12-08",0.648982072425619,93,NA,0,18,22,3,23.6559139784946,0.0775089208320225,1.91,625.935061377467,"rural",0.32765134715355,0
"AFR::BDI::Cibitoke::Cibitoke Sanitary District",1,"admin2",304933.648651293,"BDI","2017-09-25","2017-11-19",0.686977377753246,46.5,NA,NA,8,11,3,23.6559139784946,0.0360734213775767,1.93,629.098648799997,"rural",0.152492190368847,NA
"AFR::BDI::Cibitoke::Cibitoke Sanitary District",2,"admin2",319863.660270453,"BDI","2019-07-22","2019-11-10",0.686977377753246,141,NA,NA,16,23,3,16.3120567375887,0.0719056362343658,1.56,629.098648799997,"rural",0.440812813436764,NA
"AFR::BDI::Makamba::Nyanza-Lac Sanitary District",1,"admin2",274842.024599076,"BDI","2015-06-01","2015-07-26",0.342070226959976,136,NA,NA,8,52,3,38.2352941176471,0.189199595934627,1.25,863.853954697301,"rural",0.494829712444409,NA
"AFR::BDI::Rumonge::Rumonge Sanitary District",1,"admin2",309756.828981515,"BDI","2014-12-15","2015-02-15",0.373234540749574,54.5,NA,0,9,21.5,3,39.4495412844037,0.0713434127642092,1.82,519.91568543426,"rural",0.175944466435806,0
"AFR::BDI::Rutana::Bukemba|Giharo|Gitanga",1,"admin2 composite",255037.340110795,"BDI","2013-08-19","2013-12-01",0.812494730204369,129,NA,7,15,24,5,18.6046511627907,0.0941038672594912,2.28,1050.84152974052,"rural",0.505808286519765,5.42635658914729
"AFR::BEN",1,"country",10482129.715462,"BEN","2013-08-26","2014-02-02",0.0286146450082338,549,NA,6,23,61,4,11.1111111111111,0.00584906088905854,2.52,115286.160404738,"rural",0.0523748527162548,1.09289617486339
"AFR::BEN",3,"country",10734378.931795,"BEN","2014-09-22","2014-12-14",0.0286146450082338,524,NA,NA,12,115,6,21.9465648854962,0.0107132420730344,2.47,115286.160404738,"rural",0.0488151204023481,NA
"AFR::BEN::BJ-AQ::Abomey-Calavi",1,"admin2",685291.899981056,"BEN","2013-09-30","2013-12-08",0.0233449250615178,15.6666666666667,NA,0,10,4.33333333333333,3,27.6595744680851,0.00632333949000874,1.99,511.019143353604,"urban",0.0228613043100316,0
"AFR::BEN::BJ-AQ::So-Ava",1,"admin2",606402.087619282,"BEN","2011-05-09","2011-06-19",0.32454420505665,62,NA,0,6,25,3,40.3225806451613,0.0412267709996668,1.58,511.019143353604,"urban",0.102242392079174,0
"AFR::BEN::BJ-AQ::So-Ava",2,"admin2",702365.468998937,"BEN","2013-09-02","2014-03-30",0.32454420505665,308.666666666667,NA,0,30,49,4,15.8747300215983,0.0715023773100988,2.48,511.019143353604,"urban",0.439467314796386,0
"AFR::BEN::BJ-CO::Savalou",1,"admin2",148109.575696544,"BEN","2012-09-24","2013-01-13",0.535298956395449,202,NA,2,16,57,4,28.2178217821782,0.385369000129934,2.06,2662.65845889843,"rural",1.36385509883487,0.99009900990099
"AFR::BEN::BJ-DO::Djougou",1,"admin2",272480.087814257,"BEN","2012-09-10","2012-11-25",0.308715624252426,215,NA,1,11,50,5,23.2558139534884,0.183499647262606,1.8,4201.04413978341,"rural",0.789048483229204,0.465116279069767
"AFR::BEN::BJ-OU::Aguegues",1,"admin2",41635.004843008,"BEN","2010-01-11","2010-02-21",0.45403822811587,48,NA,0,6,23,3,47.9166666666667,0.552419774819902,1.87,146.213656558414,"rural",1.15287605179806,0
"AFR::BEN::BJ-OU::Bonou",1,"admin2",42552.7887744062,"BEN","2010-01-11","2010-02-21",0.589773921271634,59,NA,2,6,37,3,62.7118644067797,0.869508228853242,1.95,313.02876276061,"rural",1.3865131216849,3.38983050847458
"AFR::BEN::Littoral",1,"admin1",666505.01401503,"BEN","2019-07-08","2019-09-29",0.0358104275249484,29,NA,0,12,6,3,20.6896551724138,0.00900218284008992,1.92,41.2929784569008,"urban",0.043510550393768,0
"AFR::BEN::Ouémé",1,"admin1",1438707.72426405,"BEN","2020-04-20","2020-06-07",0.0787314548930665,145,NA,4,7,73,3,50.3448275862069,0.0507399791971937,1.8,1362.42755103343,"urban",0.100784890186207,2.75862068965517
"AFR::BEN::Ouémé::Adjohoun",1,"admin2",88979.564801485,"BEN","2020-04-20","2020-06-07",1.17925478393706,136,NA,4,7,73,3,53.6764705882353,0.820413093308158,1.8,302.889231282823,"rural",1.52844083136862,2.94117647058824
"AFR::CAF",1,"country",4933636.57012416,"CAF","2016-07-11","2016-09-18",0.0111986308146774,255,NA,20,10,68,5,26.6666666666667,0.0137829365891636,1.79,620199.668605298,"rural",0.0516860122093635,7.84313725490196
"AFR::CAF::Lobaye::Mongoumba",1,"admin2",28339.7567308139,"CAF","2011-10-31","2012-01-01",1.31040169741493,29,NA,0,9,12,3,41.3793103448276,0.423433415959861,1.76,1137.09012620431,"rural",1.023297421903,0
"AFR::CIV::Abidjan::Abidjan-Ville",1,"admin2",4573681.80233632,"CIV","2014-11-10","2015-01-04",0.0148735376350887,22,NA,0,8,14,3,63.6363636363636,0.00306099125497724,1.84,622.619742247343,"urban",0.00481012911496423,0
"AFR::CIV::Comoe::Sud-Comoe::Aboisso",1,"admin3",314995.094298668,"CIV","2012-05-21","2012-07-22",0.440708286437524,197,NA,11,9,67,3,34.010152284264,0.212701725241704,1.69,4638.31412950921,"rural",0.625406565262921,5.58375634517767
"AFR::CIV::Comoe::Sud-Comoe::Adiake",1,"admin3",85798.245429167,"CIV","2012-05-21","2012-07-29",1.13809460127616,128,NA,8,10,28,3,21.875,0.326346999987501,1.69,846.842813882726,"rural",1.49187199994286,6.25
"AFR::CMR",1,"country",20239600.9563651,"CMR","2010-07-05","2011-10-09",0.291701596159935,26839,NA,1230,66,939,8,3.49864003874958,0.0471962326116993,1.85,466040.035529104,"rural",1.32606369354132,4.58288311785089
"AFR::CMR",16,"country",27907634.0552406,"CMR","2022-01-17","2022-12-11",0.291701596159935,13890.5,NA,2,47,1403,10,10.1004283503114,0.0502729825546261,1.6,466040.035529104,"rural",0.497731193282277,0.0143983297937439
"AFR::CMR::Adamaoua::Ngaoundere Urban Health District",1,"admin2",63066.9271489238,"CMR","2011-07-11","2011-10-23",0.231328491051009,49,NA,2,15,17,3,34.6938775510204,0.269554912035858,2.05,741.511960855102,"rural",0.776952393515119,4.08163265306122
