"ID_outbreak","OCV_before_1","OCV_before_2","OCV_before_3","OCV_during","OCV_after_1","spatial_scale","Num_doses","Target_pop","Start_date"
"AFR::COD::Kasai::Dekese Health District-2018-09-03-2018-10-21",FALSE,FALSE,FALSE,FALSE,FALSE,"same",49938,"49228","2019-07-03"
"AFR::COD::Kinshasa::Kingabwa Health District-2011-06-20-2012-07-08",FALSE,FALSE,FALSE,FALSE,FALSE,"same",122918,"117439","2016-09-30"
"AFR::COD::Kinshasa::Kingabwa Health District-2012-12-24-2013-02-17",FALSE,FALSE,FALSE,FALSE,FALSE,"same",122918,"117439","2016-09-30"
"AFR::COD::Kinshasa::Kingabwa Health District-2018-01-29-2018-10-07",FALSE,TRUE,TRUE,FALSE,FALSE,"same",122918,"117439","2016-09-30"
"AFR::COD::Kinshasa::Limete Health District-2011-11-28-2012-06-03",FALSE,FALSE,FALSE,FALSE,FALSE,"same",39720,"13589","2016-09-30"
"AFR::COD::Kinshasa::Limete Health District-2013-01-14-2013-03-17",FALSE,FALSE,FALSE,FALSE,FALSE,"same",39720,"13589","2016-09-30"
"AFR::COD::Kinshasa::Limete Health District-2018-02-12-2019-03-31",FALSE,TRUE,TRUE,FALSE,FALSE,"same",39720,"13589","2016-09-30"
"AFR::COD::Kinshasa::Nsele Health District-2011-08-08-2012-07-29",FALSE,FALSE,FALSE,FALSE,FALSE,"same",4291,"6511","2016-09-30"
"AFR::COD::Kinshasa::Masina Ii Health District-2012-02-13-2013-03-24",FALSE,FALSE,FALSE,FALSE,FALSE,"same",104297,"92795","2016-09-30"
"AFR::COD::Kinshasa::Kingabwa Health District-2011-06-20-2012-07-08",NA,NA,NA,NA,NA,"same",NA,"117439",""
"AFR::COD::Kinshasa::Kingabwa Health District-2012-12-24-2013-02-17",NA,NA,NA,NA,NA,"same",NA,"117439",""
"AFR::COD::Kinshasa::Kingabwa Health District-2018-01-29-2018-10-07",NA,NA,NA,NA,NA,"same",NA,"117439",""
"AFR::COD::Kinshasa::Limete Health District-2011-11-28-2012-06-03",NA,NA,NA,NA,NA,"same",NA,"13589",""
"AFR::COD::Kinshasa::Limete Health District-2013-01-14-2013-03-17",NA,NA,NA,NA,NA,"same",NA,"13589",""
"AFR::COD::Kinshasa::Limete Health District-2018-02-12-2019-03-31",NA,NA,NA,NA,NA,"same",NA,"13589",""
"AFR::COD::Kinshasa::Nsele Health District-2011-08-08-2012-07-29",NA,NA,NA,NA,NA,"same",NA,"6511",""
"AFR::COD::Kinshasa::Masina Ii Health District-2012-02-13-2013-03-24",NA,NA,NA,NA,NA,"same",NA,"92795",""
"AFR::UGA::Moroto-2010-03-29-2010-06-13",NA,NA,NA,NA,NA,"smaller",66466,"93849",""
"AFR::UGA::Moroto-2010-03-29-2010-06-13",NA,NA,NA,NA,NA,"smaller",65219,"93849",""
"AFR::UGA::Nebbi-2013-11-18-2014-05-25",FALSE,FALSE,FALSE,FALSE,FALSE,"smaller",189397,"179402","2019-04-29"
"AFR::UGA::Buliisa-2013-07-22-2013-11-03",FALSE,FALSE,FALSE,FALSE,FALSE,"smaller",67716,"132021","2019-04-29"
"AFR::UGA::Hoima-2015-09-28-2015-11-15",FALSE,FALSE,FALSE,FALSE,FALSE,"smaller",357176,"360621","2018-05-02"
"AFR::UGA::Nebbi-2013-11-18-2014-05-25",FALSE,FALSE,FALSE,FALSE,FALSE,"smaller",202413,"179402","2019-12-10"
